"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2006","11","1","00:00","90.2"
"Sodankylä Tähtelä","2006","11","2","00:00","69.9"
"Sodankylä Tähtelä","2006","11","3","00:00","62.9"
"Sodankylä Tähtelä","2006","11","4","00:00","62.8"
"Sodankylä Tähtelä","2006","11","5","00:00","15.8"
"Sodankylä Tähtelä","2006","11","6","00:00","2.3"
"Sodankylä Tähtelä","2006","11","7","00:00","2.4"
"Sodankylä Tähtelä","2006","11","8","00:00","3.3"
"Sodankylä Tähtelä","2006","11","9","00:00","2.6"
"Sodankylä Tähtelä","2006","11","10","00:00","6.9"
"Sodankylä Tähtelä","2006","11","11","00:00","2.3"
"Sodankylä Tähtelä","2006","11","12","00:00","1.7"
"Sodankylä Tähtelä","2006","11","13","00:00","1.6"
"Sodankylä Tähtelä","2006","11","14","00:00","1.6"
"Sodankylä Tähtelä","2006","11","15","00:00","1.4"
"Sodankylä Tähtelä","2006","11","16","00:00","1.4"
"Sodankylä Tähtelä","2006","11","17","00:00","1.1"
"Sodankylä Tähtelä","2006","11","18","00:00","1.6"
"Sodankylä Tähtelä","2006","11","19","00:00","1.3"
"Sodankylä Tähtelä","2006","11","20","00:00","2"
"Sodankylä Tähtelä","2006","11","21","00:00","1.2"
"Sodankylä Tähtelä","2006","11","22","00:00","1.2"
"Sodankylä Tähtelä","2006","11","23","00:00","1.1"
"Sodankylä Tähtelä","2006","11","24","00:00","1.4"
"Sodankylä Tähtelä","2006","11","25","00:00","1.6"
"Sodankylä Tähtelä","2006","11","26","00:00","0.8"
"Sodankylä Tähtelä","2006","11","27","00:00","0.8"
"Sodankylä Tähtelä","2006","11","28","00:00","5.6"
"Sodankylä Tähtelä","2006","11","29","00:00","1.4"
"Sodankylä Tähtelä","2006","11","30","00:00","6.5"
"Sodankylä Tähtelä","2006","12","1","00:00","1.6"
"Sodankylä Tähtelä","2006","12","2","00:00","1.5"
"Sodankylä Tähtelä","2006","12","3","00:00","2.3"
"Sodankylä Tähtelä","2006","12","4","00:00","2.1"
"Sodankylä Tähtelä","2006","12","5","00:00","0.7"
"Sodankylä Tähtelä","2006","12","6","00:00","1.1"
"Sodankylä Tähtelä","2006","12","7","00:00","1.5"
"Sodankylä Tähtelä","2006","12","8","00:00","0.9"
"Sodankylä Tähtelä","2006","12","9","00:00","1.3"
"Sodankylä Tähtelä","2006","12","10","00:00","1.6"
"Sodankylä Tähtelä","2006","12","11","00:00","1"
"Sodankylä Tähtelä","2006","12","12","00:00","1.2"
"Sodankylä Tähtelä","2006","12","13","00:00","0.7"
"Sodankylä Tähtelä","2006","12","14","00:00","1.6"
"Sodankylä Tähtelä","2006","12","15","00:00","2"
"Sodankylä Tähtelä","2006","12","16","00:00","3.3"
"Sodankylä Tähtelä","2006","12","17","00:00","4.4"
"Sodankylä Tähtelä","2006","12","18","00:00","3.1"
"Sodankylä Tähtelä","2006","12","19","00:00","2.8"
"Sodankylä Tähtelä","2006","12","20","00:00","2.8"
"Sodankylä Tähtelä","2006","12","21","00:00","1.1"
"Sodankylä Tähtelä","2006","12","22","00:00","0.4"
"Sodankylä Tähtelä","2006","12","23","00:00","0.9"
"Sodankylä Tähtelä","2006","12","24","00:00","1.5"
"Sodankylä Tähtelä","2006","12","25","00:00","2.8"
"Sodankylä Tähtelä","2006","12","26","00:00","1.2"
"Sodankylä Tähtelä","2006","12","27","00:00","0.7"
"Sodankylä Tähtelä","2006","12","28","00:00","1.2"
"Sodankylä Tähtelä","2006","12","29","00:00","1.8"
"Sodankylä Tähtelä","2006","12","30","00:00","2.3"
"Sodankylä Tähtelä","2006","12","31","00:00","1.5"
"Sodankylä Tähtelä","2007","1","1","00:00","2.1"
