"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Helsinki Kumpula","2021","12","1","00:00","11.9"
"Helsinki Kumpula","2021","12","2","00:00","11.1"
"Helsinki Kumpula","2021","12","3","00:00","-0.5"
"Helsinki Kumpula","2021","12","4","00:00","-1"
"Helsinki Kumpula","2021","12","5","00:00","93.3"
"Helsinki Kumpula","2021","12","6","00:00","1"
"Helsinki Kumpula","2021","12","7","00:00","46.7"
"Helsinki Kumpula","2021","12","8","00:00","33"
"Helsinki Kumpula","2021","12","9","00:00","0.5"
"Helsinki Kumpula","2021","12","10","00:00","0.1"
"Helsinki Kumpula","2021","12","11","00:00","0"
"Helsinki Kumpula","2021","12","12","00:00","0.8"
"Helsinki Kumpula","2021","12","13","00:00","0.5"
"Helsinki Kumpula","2021","12","14","00:00","0.3"
"Helsinki Kumpula","2021","12","15","00:00","0.4"
"Helsinki Kumpula","2021","12","16","00:00","15.8"
"Helsinki Kumpula","2021","12","17","00:00","80.6"
"Helsinki Kumpula","2021","12","18","00:00","0.5"
"Helsinki Kumpula","2021","12","19","00:00","-0.4"
"Helsinki Kumpula","2021","12","20","00:00","61.7"
"Helsinki Kumpula","2021","12","21","00:00","77"
"Helsinki Kumpula","2021","12","22","00:00","-0.6"
"Helsinki Kumpula","2021","12","23","00:00","0.6"
"Helsinki Kumpula","2021","12","24","00:00","32.2"
"Helsinki Kumpula","2021","12","25","00:00","2.2"
"Helsinki Kumpula","2021","12","26","00:00","62.6"
"Helsinki Kumpula","2021","12","27","00:00","48.6"
"Helsinki Kumpula","2021","12","28","00:00","0"
"Helsinki Kumpula","2021","12","29","00:00","-0.3"
"Helsinki Kumpula","2021","12","30","00:00","0.6"
"Helsinki Kumpula","2021","12","31","00:00","3.6"
"Helsinki Kumpula","2022","1","1","00:00","99.5"
"Helsinki Kumpula","2022","1","2","00:00","0.6"
"Helsinki Kumpula","2022","1","3","00:00","0.2"
"Helsinki Kumpula","2022","1","4","00:00","0.4"
"Helsinki Kumpula","2022","1","5","00:00","2.8"
"Helsinki Kumpula","2022","1","6","00:00","0.9"
"Helsinki Kumpula","2022","1","7","00:00","1.2"
"Helsinki Kumpula","2022","1","8","00:00","0.6"
"Helsinki Kumpula","2022","1","9","00:00","0.2"
"Helsinki Kumpula","2022","1","10","00:00","116.7"
"Helsinki Kumpula","2022","1","11","00:00","1.3"
"Helsinki Kumpula","2022","1","12","00:00","0.5"
"Helsinki Kumpula","2022","1","13","00:00","74.5"
"Helsinki Kumpula","2022","1","14","00:00","28.6"
"Helsinki Kumpula","2022","1","15","00:00","117"
"Helsinki Kumpula","2022","1","16","00:00","1.8"
"Helsinki Kumpula","2022","1","17","00:00","84"
"Helsinki Kumpula","2022","1","18","00:00","12.4"
"Helsinki Kumpula","2022","1","19","00:00","0.5"
"Helsinki Kumpula","2022","1","20","00:00","0"
"Helsinki Kumpula","2022","1","21","00:00","0.2"
"Helsinki Kumpula","2022","1","22","00:00","46.9"
"Helsinki Kumpula","2022","1","23","00:00","0.8"
"Helsinki Kumpula","2022","1","24","00:00","0.3"
"Helsinki Kumpula","2022","1","25","00:00","144.3"
"Helsinki Kumpula","2022","1","26","00:00","0.6"
"Helsinki Kumpula","2022","1","27","00:00","0.4"
"Helsinki Kumpula","2022","1","28","00:00","0.3"
"Helsinki Kumpula","2022","1","29","00:00","0.6"
"Helsinki Kumpula","2022","1","30","00:00","0.1"
"Helsinki Kumpula","2022","1","31","00:00","0.4"
"Helsinki Kumpula","2022","2","1","00:00","0.8"
