"Observation station","Year","Month","Day","Time [Local time]","Cloud cover [1/8]"
"Inari Ivalo airport","2015","1","1","00:00","Mostly cloudy (7/8)"
"Inari Ivalo airport","2015","1","2","00:00","Mostly cloudy (7/8)"
"Inari Ivalo airport","2015","1","3","00:00","Cloudy (8/8)"
"Inari Ivalo airport","2015","1","4","00:00","Cloudy (8/8)"
"Inari Ivalo airport","2015","1","5","00:00","Cloudy (8/8)"
"Inari Ivalo airport","2015","1","6","00:00","Clear (0/8)"
"Inari Ivalo airport","2015","1","7","00:00","Cloudy (8/8)"
"Inari Ivalo airport","2015","1","8","00:00","Cloudy (8/8)"
"Inari Ivalo airport","2015","1","9","00:00","Cloudy (8/8)"
"Inari Ivalo airport","2015","1","10","00:00","Clear (0/8)"
"Inari Ivalo airport","2015","1","11","00:00","Clear (0/8)"
"Inari Ivalo airport","2015","1","12","00:00","Cloudy (8/8)"
"Inari Ivalo airport","2015","1","13","00:00","Mostly cloudy (7/8)"
"Inari Ivalo airport","2015","1","14","00:00","Cloudy (8/8)"
"Inari Ivalo airport","2015","1","15","00:00","Cloudy (8/8)"
"Inari Ivalo airport","2015","1","16","00:00","Cloudy (8/8)"
"Inari Ivalo airport","2015","1","17","00:00","Mostly cloudy (7/8)"
"Inari Ivalo airport","2015","1","18","00:00","Cloudy (8/8)"
"Inari Ivalo airport","2015","1","19","00:00","Clear (0/8)"
"Inari Ivalo airport","2015","1","20","00:00","Clear (1/8)"
"Inari Ivalo airport","2015","1","21","00:00","Clear (0/8)"
"Inari Ivalo airport","2015","1","22","00:00","Clear (0/8)"
"Inari Ivalo airport","2015","1","23","00:00","Cloudy (8/8)"
"Inari Ivalo airport","2015","1","24","00:00","Clear (1/8)"
"Inari Ivalo airport","2015","1","25","00:00","Cloudy (8/8)"
"Inari Ivalo airport","2015","1","26","00:00","Clear (0/8)"
"Inari Ivalo airport","2015","1","27","00:00","Cloudy (8/8)"
"Inari Ivalo airport","2015","1","28","00:00","Mostly cloudy (6/8)"
"Inari Ivalo airport","2015","1","29","00:00","Mostly cloudy (7/8)"
"Inari Ivalo airport","2015","1","30","00:00","Cloudy (8/8)"
"Inari Ivalo airport","2015","1","31","00:00","Cloudy (8/8)"
"Inari Ivalo airport","2015","2","1","00:00","Cloudy (8/8)"
"Inari Ivalo airport","2015","2","2","00:00","Clear (1/8)"
"Inari Ivalo airport","2015","2","3","00:00","Mostly cloudy (7/8)"
"Inari Ivalo airport","2015","2","4","00:00","Cloudy (8/8)"
"Inari Ivalo airport","2015","2","5","00:00","Cloudy (8/8)"
"Inari Ivalo airport","2015","2","6","00:00","Cloudy (8/8)"
"Inari Ivalo airport","2015","2","7","00:00","Cloudy (8/8)"
"Inari Ivalo airport","2015","2","8","00:00","Mostly cloudy (7/8)"
"Inari Ivalo airport","2015","2","9","00:00","Mostly cloudy (6/8)"
"Inari Ivalo airport","2015","2","10","00:00","Mostly clear (3/8)"
"Inari Ivalo airport","2015","2","11","00:00","Mostly cloudy (6/8)"
"Inari Ivalo airport","2015","2","12","00:00","Cloudy (8/8)"
"Inari Ivalo airport","2015","2","13","00:00","Clear (0/8)"
"Inari Ivalo airport","2015","2","14","00:00","Clear (0/8)"
"Inari Ivalo airport","2015","2","15","00:00","Clear (0/8)"
"Inari Ivalo airport","2015","2","16","00:00","Clear (0/8)"
"Inari Ivalo airport","2015","2","17","00:00","Cloudy (8/8)"
"Inari Ivalo airport","2015","2","18","00:00","Cloudy (8/8)"
"Inari Ivalo airport","2015","2","19","00:00","Partly cloudy (5/8)"
"Inari Ivalo airport","2015","2","20","00:00","Mostly cloudy (7/8)"
